frequency	e'	e''
 100000000.0000	  77.4189	  69.9255
 108000000.0000	  82.5730	  66.9095
 116000000.0000	  83.4012	  65.4970
 124000000.0000	  82.3697	  67.1281
 132000000.0000	  77.8826	  65.2535
 140000000.0000	  73.9401	  61.1494
 148000000.0000	  72.6196	  55.3332
 156000000.0000	  72.0309	  49.3220
 164000000.0000	  74.5552	  45.1493
 172000000.0000	  77.7349	  43.3897
 180000000.0000	  79.8806	  44.0149
 188000000.0000	  79.4988	  45.0047
 196000000.0000	  78.0237	  45.8576
 204000000.0000	  75.0492	  44.0144
 212000000.0000	  72.9171	  40.9610
 220000000.0000	  72.3487	  36.9817
 228000000.0000	  73.9227	  34.1290
 236000000.0000	  76.3022	  32.1093
 244000000.0000	  77.0234	  32.9433
 252000000.0000	  77.7135	  34.4500
 260000000.0000	  77.4464	  35.0279
 268000000.0000	  75.2607	  34.9378
 276000000.0000	  74.0837	  33.2858
 284000000.0000	  72.7731	  30.8685
 292000000.0000	  73.8322	  27.9937
 300000000.0000	  74.9980	  26.7867
 308000000.0000	  76.0240	  27.0206
 316000000.0000	  77.7330	  27.5237
 324000000.0000	  76.9150	  28.5995
 332000000.0000	  75.6268	  29.0436
 340000000.0000	  74.2849	  28.3964
 348000000.0000	  73.6596	  26.5385
 356000000.0000	  73.4828	  24.9419
 364000000.0000	  74.5289	  23.5800
 372000000.0000	  75.7407	  23.0533
 380000000.0000	  76.3222	  23.8684
 388000000.0000	  76.4602	  24.4788
 396000000.0000	  75.8264	  24.8780
 404000000.0000	  74.2908	  24.7684
 412000000.0000	  73.3340	  24.1040
 420000000.0000	  73.7889	  22.2919
 428000000.0000	  74.3460	  21.1106
 436000000.0000	  75.5697	  20.6971
 444000000.0000	  76.6094	  21.0213
 452000000.0000	  76.7982	  21.7457
 460000000.0000	  76.0274	  22.4175
 468000000.0000	  75.0436	  22.2742
 476000000.0000	  73.4362	  21.6209
 484000000.0000	  72.8744	  20.6087
 492000000.0000	  73.1578	  19.3915
 500000000.0000	  74.0299	  18.8284
 508000000.0000	  75.3883	  18.9168
 516000000.0000	  75.8823	  19.6136
 524000000.0000	  75.9489	  20.4924
 532000000.0000	  75.3250	  20.5033
 540000000.0000	  74.2410	  20.0666
 548000000.0000	  73.6914	  19.3969
 556000000.0000	  73.5545	  18.0318
 564000000.0000	  73.9088	  17.2985
 572000000.0000	  74.3996	  16.9328
 580000000.0000	  74.8449	  17.5100
 588000000.0000	  74.7572	  18.0831
 596000000.0000	  74.3791	  18.7282
 604000000.0000	  73.6633	  18.8248
 612000000.0000	  73.5460	  18.2318
 620000000.0000	  73.6168	  17.3455
 628000000.0000	  74.0903	  16.6222
 636000000.0000	  74.7691	  16.2529
 644000000.0000	  75.2082	  16.3542
 652000000.0000	  75.1751	  16.9466
 660000000.0000	  74.5000	  17.2828
 668000000.0000	  73.6620	  17.5050
 676000000.0000	  72.6901	  17.3193
 684000000.0000	  72.6466	  16.4650
 692000000.0000	  73.0157	  15.9265
 700000000.0000	  73.7716	  15.5327
 708000000.0000	  74.7130	  15.6241
 716000000.0000	  75.2145	  16.0310
 724000000.0000	  75.0937	  16.5896
 732000000.0000	  74.6167	  16.5504
 740000000.0000	  73.5957	  16.4586
 748000000.0000	  72.8504	  15.9142
 756000000.0000	  72.6534	  15.0276
 764000000.0000	  72.6667	  14.5559
 772000000.0000	  73.3656	  14.4477
 780000000.0000	  74.0004	  14.8597
 788000000.0000	  74.2665	  15.3827
 796000000.0000	  73.9400	  16.0832
 804000000.0000	  73.7226	  16.0070
 812000000.0000	  73.0928	  15.5882
 820000000.0000	  73.0059	  14.8993
 828000000.0000	  73.1373	  14.0628
 836000000.0000	  73.4873	  13.7140
 844000000.0000	  73.9238	  13.8180
 852000000.0000	  73.7672	  14.2952
 860000000.0000	  73.5497	  14.7451
 868000000.0000	  73.0269	  15.1786
 876000000.0000	  72.3578	  15.1593
 884000000.0000	  71.9844	  14.6984
 892000000.0000	  72.7149	  14.1345
 900000000.0000	  73.1920	  13.6130
