frequency	e'	e''
 100000000.0000	  78.8985	 269.6116
 108000000.0000	  83.2643	 251.8687
 116000000.0000	  82.0611	 234.0530
 124000000.0000	  83.9900	 227.5997
 132000000.0000	  78.4298	 216.0353
 140000000.0000	  74.5090	 203.2190
 148000000.0000	  74.4493	 192.2811
 156000000.0000	  73.2768	 177.8105
 164000000.0000	  75.3169	 167.4106
 172000000.0000	  78.4002	 160.1974
 180000000.0000	  80.6494	 155.2204
 188000000.0000	  79.4283	 150.6746
 196000000.0000	  79.8312	 147.6851
 204000000.0000	  75.6099	 141.7332
 212000000.0000	  72.6576	 135.6691
 220000000.0000	  72.1592	 128.4804
 228000000.0000	  73.4353	 122.1987
 236000000.0000	  75.8826	 117.0992
 244000000.0000	  76.6287	 114.4051
 252000000.0000	  77.9405	 113.7373
 260000000.0000	  76.5401	 111.9038
 268000000.0000	  75.5636	 110.2717
 276000000.0000	  74.5578	 106.5833
 284000000.0000	  72.7108	 101.7548
 292000000.0000	  73.6231	  97.3213
 300000000.0000	  74.2269	  93.8713
 308000000.0000	  75.5871	  91.8091
 316000000.0000	  76.6108	  91.1081
 324000000.0000	  75.8827	  90.5828
 332000000.0000	  75.0892	  89.6652
 340000000.0000	  73.5434	  87.9840
 348000000.0000	  72.8999	  84.9213
 356000000.0000	  73.0293	  81.9437
 364000000.0000	  74.4556	  79.3428
 372000000.0000	  74.8857	  77.4174
 380000000.0000	  76.1592	  76.7978
 388000000.0000	  75.8461	  76.4856
 396000000.0000	  74.6841	  75.9462
 404000000.0000	  73.4402	  74.5315
 412000000.0000	  72.6514	  72.8815
 420000000.0000	  72.6082	  70.7922
 428000000.0000	  73.4561	  68.6124
 436000000.0000	  74.9935	  67.4227
 444000000.0000	  75.6611	  67.0016
 452000000.0000	  76.1950	  66.7787
 460000000.0000	  75.4356	  66.5233
 468000000.0000	  74.0109	  65.8302
 476000000.0000	  72.7856	  63.9688
 484000000.0000	  72.4418	  62.2976
 492000000.0000	  72.4816	  60.4772
 500000000.0000	  73.1021	  59.5338
 508000000.0000	  74.1608	  59.0240
 516000000.0000	  74.7027	  59.2027
 524000000.0000	  74.8527	  59.5167
 532000000.0000	  74.3930	  59.0889
 540000000.0000	  73.5422	  57.6018
 548000000.0000	  73.3576	  56.4740
 556000000.0000	  73.0087	  54.5632
 564000000.0000	  73.3159	  53.3257
 572000000.0000	  73.3353	  52.2626
 580000000.0000	  74.0063	  52.5474
 588000000.0000	  73.4058	  52.3983
 596000000.0000	  73.2094	  52.7698
 604000000.0000	  72.6448	  52.4600
 612000000.0000	  72.7208	  51.4621
 620000000.0000	  72.4933	  50.4831
 628000000.0000	  73.3101	  49.3198
 636000000.0000	  73.9728	  48.5234
 644000000.0000	  74.2320	  47.9999
 652000000.0000	  74.3726	  48.3709
 660000000.0000	  73.3061	  47.9214
 668000000.0000	  72.4394	  47.8655
 676000000.0000	  71.3404	  47.2670
 684000000.0000	  71.3090	  46.0172
 692000000.0000	  71.8226	  45.4744
 700000000.0000	  72.4498	  44.8309
 708000000.0000	  73.5885	  44.6627
 716000000.0000	  73.9708	  44.8081
 724000000.0000	  74.2943	  44.9618
 732000000.0000	  73.3147	  44.6157
 740000000.0000	  72.2711	  43.9734
 748000000.0000	  71.7044	  43.1478
 756000000.0000	  71.3297	  41.7497
 764000000.0000	  71.5820	  41.1770
 772000000.0000	  71.9559	  40.7948
 780000000.0000	  72.6119	  41.0171
 788000000.0000	  72.8203	  41.4885
 796000000.0000	  72.6361	  41.7386
 804000000.0000	  72.4662	  41.5843
 812000000.0000	  71.9399	  40.8883
 820000000.0000	  71.8489	  39.9350
 828000000.0000	  71.9359	  38.7025
 836000000.0000	  72.4062	  38.0121
 844000000.0000	  72.2105	  37.9592
 852000000.0000	  72.5007	  37.9719
 860000000.0000	  72.1416	  38.4743
 868000000.0000	  71.5016	  38.5175
 876000000.0000	  70.9736	  38.3206
 884000000.0000	  70.8676	  37.8538
 892000000.0000	  71.2963	  37.1169
 900000000.0000	  71.9472	  36.3845
