frequency	e'	e''
 100000000.0000	  77.0463	 162.6841
 108000000.0000	  81.8431	 152.6743
 116000000.0000	  82.1360	 143.7880
 124000000.0000	  81.9941	 141.5625
 132000000.0000	  77.6416	 135.1684
 140000000.0000	  73.7110	 127.0987
 148000000.0000	  72.1631	 119.2839
 156000000.0000	  71.5372	 109.0472
 164000000.0000	  74.2050	 101.6977
 172000000.0000	  77.5119	  97.5120
 180000000.0000	  79.6337	  95.5213
 188000000.0000	  78.9284	  93.9946
 196000000.0000	  78.6077	  92.8045
 204000000.0000	  75.7376	  89.3281
 212000000.0000	  72.6569	  84.7297
 220000000.0000	  72.2170	  79.2455
 228000000.0000	  73.6690	  75.4930
 236000000.0000	  76.3339	  71.4545
 244000000.0000	  76.6844	  70.4545
 252000000.0000	  78.0622	  70.9748
 260000000.0000	  76.7526	  70.5486
 268000000.0000	  74.8127	  69.6147
 276000000.0000	  73.7146	  67.2168
 284000000.0000	  72.5231	  63.6458
 292000000.0000	  73.2960	  59.9369
 300000000.0000	  73.7495	  58.3064
 308000000.0000	  75.6725	  56.8812
 316000000.0000	  76.5506	  57.0627
 324000000.0000	  76.3280	  57.3806
 332000000.0000	  74.5162	  57.3037
 340000000.0000	  73.3814	  55.8116
 348000000.0000	  72.5754	  53.5966
 356000000.0000	  72.4037	  51.5295
 364000000.0000	  73.7272	  49.2214
 372000000.0000	  74.8654	  48.4282
 380000000.0000	  75.6366	  48.1200
 388000000.0000	  75.6057	  48.5590
 396000000.0000	  74.8893	  48.4512
 404000000.0000	  73.1080	  48.0519
 412000000.0000	  72.4429	  46.6013
 420000000.0000	  73.1597	  44.5897
 428000000.0000	  73.0524	  43.2487
 436000000.0000	  74.8819	  42.2389
 444000000.0000	  75.9195	  42.1820
 452000000.0000	  75.8272	  42.4775
 460000000.0000	  74.8190	  42.8850
 468000000.0000	  74.4178	  42.2985
 476000000.0000	  72.2701	  41.2998
 484000000.0000	  72.3741	  39.7562
 492000000.0000	  72.6642	  38.3197
 500000000.0000	  72.9895	  37.6231
 508000000.0000	  74.2241	  37.4519
 516000000.0000	  75.0215	  37.8746
 524000000.0000	  74.7756	  38.2780
 532000000.0000	  74.2607	  38.3573
 540000000.0000	  73.5706	  37.2431
 548000000.0000	  72.8115	  36.3316
 556000000.0000	  72.6183	  35.0454
 564000000.0000	  73.3925	  33.7987
 572000000.0000	  72.8767	  33.3968
 580000000.0000	  74.1290	  33.5388
 588000000.0000	  73.3372	  34.1181
 596000000.0000	  73.1556	  34.3032
 604000000.0000	  72.6512	  34.3331
 612000000.0000	  72.3831	  33.5883
 620000000.0000	  72.2824	  32.4696
 628000000.0000	  72.9393	  31.7558
 636000000.0000	  73.8326	  30.8946
 644000000.0000	  73.6816	  30.9929
 652000000.0000	  74.3513	  31.2466
 660000000.0000	  72.8640	  31.4990
 668000000.0000	  72.5901	  31.4120
 676000000.0000	  71.5778	  31.1605
 684000000.0000	  70.9393	  30.2241
 692000000.0000	  71.8664	  29.3919
 700000000.0000	  72.5189	  29.1671
 708000000.0000	  73.3807	  28.7578
 716000000.0000	  73.7760	  29.3373
 724000000.0000	  74.1819	  29.5221
 732000000.0000	  73.0277	  29.4512
 740000000.0000	  72.3786	  29.1180
 748000000.0000	  71.9081	  28.5059
 756000000.0000	  71.0518	  27.4815
 764000000.0000	  71.6912	  26.8621
 772000000.0000	  72.1284	  26.7430
 780000000.0000	  72.6942	  26.7519
 788000000.0000	  72.9638	  27.4315
 796000000.0000	  72.8607	  27.7816
 804000000.0000	  72.3033	  27.6974
 812000000.0000	  71.9588	  27.1697
 820000000.0000	  72.1247	  26.2253
 828000000.0000	  71.5891	  25.4269
 836000000.0000	  72.3994	  24.8074
 844000000.0000	  72.4984	  24.8531
 852000000.0000	  72.5047	  25.1591
 860000000.0000	  72.3127	  25.7598
 868000000.0000	  71.5878	  26.0683
 876000000.0000	  71.0452	  25.6656
 884000000.0000	  70.8915	  25.3418
 892000000.0000	  71.3685	  24.5112
 900000000.0000	  71.7739	  24.1764
