frequency	e'	e''
 100000000.0000	  76.9050	 189.6449
 108000000.0000	  81.9907	 177.9628
 116000000.0000	  81.5856	 166.6502
 124000000.0000	  81.8359	 163.2160
 132000000.0000	  77.6394	 155.5989
 140000000.0000	  72.7081	 147.0362
 148000000.0000	  72.9656	 137.2518
 156000000.0000	  71.6849	 126.1664
 164000000.0000	  74.1565	 118.2873
 172000000.0000	  77.4437	 113.3244
 180000000.0000	  79.5215	 110.6002
 188000000.0000	  78.9105	 108.8199
 196000000.0000	  78.9186	 107.1878
 204000000.0000	  74.8817	 102.6078
 212000000.0000	  72.5816	  97.5236
 220000000.0000	  72.1966	  91.6552
 228000000.0000	  73.3876	  86.9669
 236000000.0000	  75.5111	  83.1280
 244000000.0000	  76.6785	  81.9573
 252000000.0000	  77.3608	  81.7232
 260000000.0000	  75.9888	  80.8337
 268000000.0000	  75.1608	  79.7647
 276000000.0000	  73.6508	  77.1292
 284000000.0000	  72.1201	  73.2557
 292000000.0000	  73.1308	  69.3860
 300000000.0000	  73.6073	  67.3805
 308000000.0000	  75.4356	  65.7650
 316000000.0000	  76.2847	  65.6749
 324000000.0000	  75.5500	  66.0747
 332000000.0000	  75.0094	  65.3299
 340000000.0000	  73.2189	  63.8847
 348000000.0000	  72.7042	  61.2174
 356000000.0000	  72.8725	  58.9435
 364000000.0000	  73.5320	  56.8383
 372000000.0000	  74.2987	  55.7757
 380000000.0000	  75.4779	  55.7117
 388000000.0000	  75.2789	  55.6135
 396000000.0000	  74.6314	  55.4453
 404000000.0000	  73.3097	  54.6544
 412000000.0000	  72.1940	  53.2635
 420000000.0000	  72.6051	  51.2160
 428000000.0000	  73.0775	  49.7323
 436000000.0000	  74.3374	  48.5789
 444000000.0000	  75.3166	  48.4335
 452000000.0000	  75.5370	  48.5806
 460000000.0000	  74.7946	  48.6996
 468000000.0000	  74.1372	  48.1798
 476000000.0000	  72.4380	  46.9213
 484000000.0000	  71.7168	  45.6787
 492000000.0000	  72.4352	  44.0064
 500000000.0000	  72.9286	  43.2012
 508000000.0000	  73.7526	  42.8916
 516000000.0000	  74.7825	  43.2613
 524000000.0000	  74.7827	  43.5721
 532000000.0000	  73.9683	  43.3381
 540000000.0000	  73.1955	  42.5176
 548000000.0000	  72.8226	  41.3823
 556000000.0000	  72.2923	  39.7292
 564000000.0000	  72.9375	  38.9620
 572000000.0000	  73.0354	  38.0727
 580000000.0000	  73.4514	  38.4616
 588000000.0000	  73.1969	  38.6389
 596000000.0000	  73.0053	  39.0967
 604000000.0000	  72.3653	  38.7873
 612000000.0000	  72.1936	  38.1180
 620000000.0000	  72.2758	  36.9471
 628000000.0000	  72.4931	  36.1376
 636000000.0000	  73.4565	  35.4305
 644000000.0000	  73.7829	  35.1457
 652000000.0000	  73.9177	  35.6874
 660000000.0000	  72.9627	  35.5414
 668000000.0000	  71.9145	  35.6627
 676000000.0000	  71.4363	  35.1360
 684000000.0000	  70.8480	  34.2986
 692000000.0000	  71.3933	  33.4230
 700000000.0000	  72.2171	  33.1676
 708000000.0000	  73.2456	  32.7700
 716000000.0000	  73.2359	  33.2141
 724000000.0000	  73.7577	  33.5651
 732000000.0000	  73.0807	  33.1258
 740000000.0000	  71.6333	  32.9923
 748000000.0000	  71.7113	  32.0625
 756000000.0000	  70.8732	  31.1280
 764000000.0000	  71.5127	  30.3582
 772000000.0000	  71.7087	  30.3582
 780000000.0000	  72.3070	  30.4675
 788000000.0000	  72.5185	  30.8088
 796000000.0000	  72.3416	  31.4152
 804000000.0000	  72.2229	  31.0313
 812000000.0000	  71.4449	  30.7341
 820000000.0000	  71.7860	  29.6568
 828000000.0000	  71.3603	  28.7352
 836000000.0000	  71.9298	  28.3014
 844000000.0000	  72.2445	  28.1459
 852000000.0000	  71.9604	  28.5134
 860000000.0000	  72.0451	  28.8710
 868000000.0000	  71.1482	  29.2287
 876000000.0000	  70.7769	  28.8265
 884000000.0000	  70.3476	  28.5541
 892000000.0000	  71.1396	  27.6592
 900000000.0000	  71.2629	  27.0729
