frequency	e'	e''
 100000000.0000	  47.9630	  36.0657
 108000000.0000	  49.8346	  33.8418
 116000000.0000	  49.9672	  32.3867
 124000000.0000	  49.7814	  31.1140
 132000000.0000	  49.9918	  29.9593
 140000000.0000	  49.6880	  28.8711
 148000000.0000	  50.6414	  27.3213
 156000000.0000	  50.0480	  26.6162
 164000000.0000	  49.9762	  26.0205
 172000000.0000	  50.1185	  24.7775
 180000000.0000	  50.0492	  24.3141
 188000000.0000	  49.8120	  23.9154
 196000000.0000	  50.3176	  23.0497
 204000000.0000	  50.2292	  22.6571
 212000000.0000	  49.3454	  22.5552
 220000000.0000	  49.0972	  21.8922
 228000000.0000	  49.2836	  21.4875
 236000000.0000	  48.5612	  22.0045
 244000000.0000	  49.1024	  20.9766
 252000000.0000	  49.7977	  20.6151
 260000000.0000	  49.1527	  20.5723
 268000000.0000	  49.1041	  20.1069
 276000000.0000	  48.9431	  19.7448
 284000000.0000	  48.6320	  20.0131
 292000000.0000	  48.2060	  19.4515
 300000000.0000	  48.1503	  19.0681
 308000000.0000	  47.7575	  19.2895
 316000000.0000	  47.8236	  18.8903
 324000000.0000	  47.4223	  18.9724
 332000000.0000	  47.2610	  18.6524
 340000000.0000	  47.2967	  18.4851
 348000000.0000	  47.3032	  18.3282
 356000000.0000	  47.2012	  18.2290
 364000000.0000	  47.0667	  18.2690
 372000000.0000	  47.1450	  17.9223
 380000000.0000	  47.1454	  17.7943
 388000000.0000	  46.7179	  17.8783
 396000000.0000	  46.5187	  17.8667
 404000000.0000	  46.2714	  17.7699
 412000000.0000	  45.8377	  17.9291
 420000000.0000	  46.0294	  17.6289
 428000000.0000	  45.9989	  17.3818
 436000000.0000	  45.6144	  17.6532
 444000000.0000	  45.8774	  17.3906
 452000000.0000	  46.1707	  17.2624
 460000000.0000	  45.7659	  17.2754
 468000000.0000	  45.6472	  17.3057
 476000000.0000	  45.5709	  17.1638
 484000000.0000	  45.1499	  17.2700
 492000000.0000	  45.4548	  17.1568
 500000000.0000	  45.0651	  17.0668
 508000000.0000	  44.9456	  17.1420
 516000000.0000	  45.0777	  16.9194
 524000000.0000	  45.1764	  17.0618
 532000000.0000	  45.0306	  16.7824
 540000000.0000	  44.8423	  17.2161
 548000000.0000	  44.5342	  17.0883
 556000000.0000	  44.6108	  16.7346
 564000000.0000	  44.7842	  17.0209
 572000000.0000	  44.8152	  16.6599
 580000000.0000	  44.0498	  16.8360
 588000000.0000	  44.5784	  16.7777
 596000000.0000	  43.7907	  16.9046
 604000000.0000	  43.9518	  16.6370
 612000000.0000	  43.8845	  16.9413
 620000000.0000	  44.0410	  16.5863
 628000000.0000	  43.4527	  16.7893
 636000000.0000	  44.0324	  16.7621
 644000000.0000	  43.9739	  16.5288
 652000000.0000	  43.1856	  16.7805
 660000000.0000	  43.8253	  16.5682
 668000000.0000	  42.8489	  16.7605
 676000000.0000	  43.2424	  16.4931
 684000000.0000	  43.0004	  16.6770
 692000000.0000	  42.7983	  16.6051
 700000000.0000	  42.7418	  16.5277
 708000000.0000	  42.9420	  16.6364
 716000000.0000	  42.4668	  16.4443
 724000000.0000	  42.5762	  16.6258
 732000000.0000	  42.9917	  16.3798
 740000000.0000	  42.0713	  16.5030
 748000000.0000	  42.2822	  16.5251
 756000000.0000	  42.2187	  16.3093
 764000000.0000	  41.7432	  16.4089
 772000000.0000	  42.1375	  16.3862
 780000000.0000	  41.8138	  16.4170
 788000000.0000	  41.7313	  16.2215
 796000000.0000	  41.4190	  16.4411
 804000000.0000	  41.6019	  16.3518
 812000000.0000	  41.3204	  16.2705
 820000000.0000	  41.6388	  16.4543
 828000000.0000	  41.3956	  16.2327
 836000000.0000	  41.0124	  16.2783
 844000000.0000	  41.3317	  16.2915
 852000000.0000	  41.1407	  16.3708
 860000000.0000	  40.9049	  16.1181
 868000000.0000	  40.9809	  16.2652
 876000000.0000	  40.7482	  16.3005
 884000000.0000	  40.4258	  16.1731
 892000000.0000	  40.8843	  16.2124
 900000000.0000	  40.4920	  16.1515
