frequency	e'	e''
 100000000.0000	  27.0402	  87.7396
 108000000.0000	  32.0716	  84.2899
 116000000.0000	  35.5978	  80.7541
 124000000.0000	  38.5123	  76.7458
 132000000.0000	  41.7447	  73.8361
 140000000.0000	  43.2638	  70.8413
 148000000.0000	  47.5225	  67.7153
 156000000.0000	  47.4004	  65.1574
 164000000.0000	  47.6836	  62.5371
 172000000.0000	  49.2342	  59.8011
 180000000.0000	  51.1890	  57.9633
 188000000.0000	  52.2587	  56.3291
 196000000.0000	  53.9924	  54.1519
 204000000.0000	  54.7682	  52.5005
 212000000.0000	  54.2706	  51.0737
 220000000.0000	  54.0809	  49.4788
 228000000.0000	  54.8792	  48.4179
 236000000.0000	  56.0263	  47.1170
 244000000.0000	  56.6473	  45.7562
 252000000.0000	  57.8662	  44.6315
 260000000.0000	  57.4541	  43.6158
 268000000.0000	  57.8431	  42.6318
 276000000.0000	  57.3452	  41.4563
 284000000.0000	  58.0741	  40.6542
 292000000.0000	  58.2062	  39.6776
 300000000.0000	  58.3865	  38.7560
 308000000.0000	  59.0641	  38.1218
 316000000.0000	  59.1816	  37.4477
 324000000.0000	  58.6997	  36.8951
 332000000.0000	  58.1947	  36.1648
 340000000.0000	  58.9804	  35.5303
 348000000.0000	  59.1544	  34.7741
 356000000.0000	  58.9001	  34.4946
 364000000.0000	  59.9008	  33.7812
 372000000.0000	  59.5968	  33.2016
 380000000.0000	  59.9674	  32.5287
 388000000.0000	  59.6854	  32.3372
 396000000.0000	  59.5076	  31.9413
 404000000.0000	  59.2342	  31.5917
 412000000.0000	  59.2151	  31.2640
 420000000.0000	  59.5445	  30.5122
 428000000.0000	  59.3049	  30.1837
 436000000.0000	  59.6119	  29.7797
 444000000.0000	  59.7403	  29.3599
 452000000.0000	  60.2240	  28.9620
 460000000.0000	  59.8351	  28.7151
 468000000.0000	  59.8726	  28.4707
 476000000.0000	  59.9133	  28.0009
 484000000.0000	  59.9100	  28.1132
 492000000.0000	  60.1244	  27.6207
 500000000.0000	  59.8539	  27.2765
 508000000.0000	  60.4378	  26.9668
 516000000.0000	  60.4315	  26.6786
 524000000.0000	  59.8305	  26.4919
 532000000.0000	  60.1183	  26.3283
 540000000.0000	  59.8575	  26.4028
 548000000.0000	  59.9339	  25.8193
 556000000.0000	  59.9127	  25.5585
 564000000.0000	  60.5242	  25.3817
 572000000.0000	  59.8785	  25.1608
 580000000.0000	  60.2238	  24.8839
 588000000.0000	  60.1450	  24.9430
 596000000.0000	  59.2380	  24.6777
 604000000.0000	  59.9881	  24.3429
 612000000.0000	  59.6890	  24.4752
 620000000.0000	  59.7211	  23.8838
 628000000.0000	  59.5464	  24.1129
 636000000.0000	  60.3605	  23.7722
 644000000.0000	  59.5777	  23.5532
 652000000.0000	  59.8338	  23.5783
 660000000.0000	  59.8298	  23.3803
 668000000.0000	  59.7296	  23.3363
 676000000.0000	  59.8511	  23.1372
 684000000.0000	  59.6034	  23.0949
 692000000.0000	  59.4200	  22.6119
 700000000.0000	  59.4189	  22.8570
 708000000.0000	  59.5777	  22.4287
 716000000.0000	  59.1320	  22.5775
 724000000.0000	  59.7579	  22.3675
 732000000.0000	  59.4050	  22.1727
 740000000.0000	  59.1957	  22.2722
 748000000.0000	  59.8710	  21.9962
 756000000.0000	  58.8861	  21.9065
 764000000.0000	  59.5265	  21.7213
 772000000.0000	  59.2392	  21.8181
 780000000.0000	  59.1770	  21.4095
 788000000.0000	  59.0840	  21.4536
 796000000.0000	  59.1465	  21.4353
 804000000.0000	  58.9377	  21.0697
 812000000.0000	  58.6669	  21.3699
 820000000.0000	  59.3308	  21.1531
 828000000.0000	  58.4404	  21.0499
 836000000.0000	  59.1288	  20.9624
 844000000.0000	  58.9481	  21.0992
 852000000.0000	  59.1239	  20.8915
 860000000.0000	  58.9150	  20.8455
 868000000.0000	  58.8888	  20.9328
 876000000.0000	  58.8164	  20.5738
 884000000.0000	  58.7324	  20.6736
 892000000.0000	  58.8119	  20.4420
 900000000.0000	  58.2134	  20.5277
