frequency	e'	e''
 100000000.0000	  78.6334	 106.1365
 108000000.0000	  79.2363	  99.1080
 116000000.0000	  78.4905	  91.3395
 124000000.0000	  79.4692	  88.2460
 132000000.0000	  77.7949	  84.2739
 140000000.0000	  78.3269	  78.9801
 148000000.0000	  78.9672	  75.0406
 156000000.0000	  77.1008	  70.6272
 164000000.0000	  77.2189	  66.8752
 172000000.0000	  77.4667	  63.9656
 180000000.0000	  77.0164	  62.1028
 188000000.0000	  77.3082	  59.3319
 196000000.0000	  78.2920	  57.6591
 204000000.0000	  77.3554	  55.8950
 212000000.0000	  76.7931	  54.0649
 220000000.0000	  76.9349	  51.7944
 228000000.0000	  77.0744	  50.1855
 236000000.0000	  77.4621	  47.6649
 244000000.0000	  76.6355	  46.9180
 252000000.0000	  77.0729	  45.7063
 260000000.0000	  76.5608	  44.5580
 268000000.0000	  76.1854	  43.8204
 276000000.0000	  76.3278	  42.6378
 284000000.0000	  75.4002	  41.5557
 292000000.0000	  76.0314	  39.9774
 300000000.0000	  75.4415	  39.6503
 308000000.0000	  76.2792	  38.4340
 316000000.0000	  76.7452	  37.8044
 324000000.0000	  76.7340	  37.2390
 332000000.0000	  76.5711	  36.5151
 340000000.0000	  76.1714	  35.8642
 348000000.0000	  75.6875	  34.9485
 356000000.0000	  75.0531	  34.3571
 364000000.0000	  75.1264	  33.2579
 372000000.0000	  74.8188	  32.8656
 380000000.0000	  75.1672	  32.2233
 388000000.0000	  75.4233	  32.0340
 396000000.0000	  75.7363	  31.6198
 404000000.0000	  75.5222	  31.2932
 412000000.0000	  75.6433	  30.9481
 420000000.0000	  75.9554	  30.0152
 428000000.0000	  75.5168	  29.5958
 436000000.0000	  75.8584	  28.8003
 444000000.0000	  75.7840	  28.3964
 452000000.0000	  75.5721	  28.0799
 460000000.0000	  74.9103	  28.1241
 468000000.0000	  75.0624	  27.6845
 476000000.0000	  74.4270	  27.3712
 484000000.0000	  74.6694	  27.2822
 492000000.0000	  74.8227	  26.5914
 500000000.0000	  74.9979	  26.4058
 508000000.0000	  75.3843	  26.0248
 516000000.0000	  76.0214	  25.7439
 524000000.0000	  75.8422	  25.5050
 532000000.0000	  75.7176	  25.3585
 540000000.0000	  75.2483	  24.8317
 548000000.0000	  74.8272	  24.5417
 556000000.0000	  74.4291	  24.1647
 564000000.0000	  74.6828	  23.7865
 572000000.0000	  74.0000	  23.5546
 580000000.0000	  74.8669	  23.5560
 588000000.0000	  74.3524	  23.6847
 596000000.0000	  74.8009	  23.4475
 604000000.0000	  74.9792	  23.4846
 612000000.0000	  75.0431	  23.0723
 620000000.0000	  74.8245	  22.5337
 628000000.0000	  74.9134	  22.3527
 636000000.0000	  74.9500	  21.7303
 644000000.0000	  74.3095	  21.7696
 652000000.0000	  74.8222	  21.6525
 660000000.0000	  73.7735	  21.8135
 668000000.0000	  73.7927	  21.9215
 676000000.0000	  74.0487	  21.7923
 684000000.0000	  73.8156	  21.6837
 692000000.0000	  74.2294	  21.2177
 700000000.0000	  74.5980	  21.1805
 708000000.0000	  74.8671	  20.5173
 716000000.0000	  74.6918	  20.5978
 724000000.0000	  75.2302	  20.3275
 732000000.0000	  74.6769	  20.0598
 740000000.0000	  73.7624	  20.4075
 748000000.0000	  74.0758	  20.1062
 756000000.0000	  73.0597	  20.1015
 764000000.0000	  73.5400	  19.8573
 772000000.0000	  73.5403	  19.9971
 780000000.0000	  73.9010	  19.6853
 788000000.0000	  74.2411	  19.6596
 796000000.0000	  74.6188	  19.7221
 804000000.0000	  74.5936	  19.3469
 812000000.0000	  74.3127	  19.4369
 820000000.0000	  74.5541	  18.9013
 828000000.0000	  73.5647	  18.7639
 836000000.0000	  73.8657	  18.4331
 844000000.0000	  73.6270	  18.5290
 852000000.0000	  73.2113	  18.7246
 860000000.0000	  73.6567	  18.7848
 868000000.0000	  73.4023	  19.0896
 876000000.0000	  73.4193	  18.7746
 884000000.0000	  73.5247	  18.8947
 892000000.0000	  74.2090	  18.3550
 900000000.0000	  73.7959	  18.1366
