frequency	e'	e''
 100000000.0000	  78.6411	 113.6291
 108000000.0000	  80.2476	 106.2162
 116000000.0000	  79.6556	  98.7006
 124000000.0000	  80.3561	  96.1244
 132000000.0000	  78.7390	  91.4042
 140000000.0000	  76.8449	  85.8368
 148000000.0000	  77.4413	  80.8782
 156000000.0000	  76.0229	  75.4882
 164000000.0000	  76.8193	  71.1595
 172000000.0000	  78.0858	  68.3020
 180000000.0000	  78.7475	  66.1954
 188000000.0000	  77.7240	  64.7216
 196000000.0000	  78.6387	  62.5125
 204000000.0000	  76.6456	  60.3307
 212000000.0000	  75.4756	  57.5798
 220000000.0000	  75.3940	  54.6338
 228000000.0000	  75.7663	  52.3517
 236000000.0000	  76.7375	  49.9757
 244000000.0000	  76.5823	  49.5693
 252000000.0000	  77.5470	  48.9556
 260000000.0000	  77.6993	  48.2854
 268000000.0000	  76.8320	  47.6160
 276000000.0000	  76.6227	  46.1728
 284000000.0000	  75.4587	  44.4916
 292000000.0000	  75.9014	  42.1798
 300000000.0000	  75.6965	  41.0963
 308000000.0000	  76.0595	  39.9268
 316000000.0000	  76.5660	  39.5517
 324000000.0000	  76.4275	  39.2677
 332000000.0000	  76.2773	  38.9090
 340000000.0000	  75.8907	  38.4291
 348000000.0000	  75.6539	  37.4745
 356000000.0000	  75.3778	  36.7452
 364000000.0000	  75.9204	  35.3792
 372000000.0000	  75.7927	  34.7647
 380000000.0000	  76.1741	  34.0123
 388000000.0000	  76.1889	  33.9869
 396000000.0000	  76.2498	  33.2089
 404000000.0000	  75.1738	  32.7017
 412000000.0000	  75.2644	  32.2379
 420000000.0000	  75.4154	  31.4785
 428000000.0000	  75.3810	  30.6441
 436000000.0000	  75.6969	  30.5077
 444000000.0000	  76.3713	  30.1376
 452000000.0000	  76.2992	  30.0067
 460000000.0000	  75.8360	  29.9263
 468000000.0000	  75.4293	  29.4437
 476000000.0000	  74.3855	  28.7343
 484000000.0000	  74.1966	  27.9389
 492000000.0000	  74.2145	  27.0516
 500000000.0000	  74.2692	  26.8291
 508000000.0000	  74.7747	  26.5729
 516000000.0000	  75.1858	  26.9038
 524000000.0000	  75.6933	  26.9480
 532000000.0000	  75.9488	  26.9460
 540000000.0000	  75.3038	  26.3968
 548000000.0000	  74.9973	  26.3322
 556000000.0000	  75.0784	  25.3402
 564000000.0000	  74.7214	  24.7353
 572000000.0000	  74.6452	  24.0979
 580000000.0000	  75.1279	  23.8988
 588000000.0000	  74.1240	  24.1010
 596000000.0000	  74.8177	  24.0398
 604000000.0000	  74.5626	  24.2714
 612000000.0000	  74.6396	  23.9301
 620000000.0000	  74.7343	  23.8736
 628000000.0000	  75.2626	  23.4353
 636000000.0000	  75.2133	  23.0945
 644000000.0000	  75.4091	  22.9674
 652000000.0000	  75.8194	  22.6817
 660000000.0000	  74.6365	  22.6706
 668000000.0000	  74.6600	  22.3265
 676000000.0000	  74.0834	  22.2824
 684000000.0000	  73.7035	  21.7466
 692000000.0000	  74.1236	  21.6193
 700000000.0000	  74.5413	  21.6824
 708000000.0000	  74.9980	  21.3688
 716000000.0000	  75.2660	  21.8078
 724000000.0000	  75.8118	  21.7214
 732000000.0000	  75.1037	  21.6216
 740000000.0000	  74.8600	  21.4169
 748000000.0000	  74.6092	  20.9992
 756000000.0000	  73.6782	  20.4025
 764000000.0000	  73.9104	  19.9293
 772000000.0000	  73.9206	  19.8084
 780000000.0000	  74.0901	  19.6500
 788000000.0000	  74.3055	  20.0608
 796000000.0000	  74.5373	  20.3735
 804000000.0000	  74.3748	  20.5249
 812000000.0000	  74.4905	  20.4758
 820000000.0000	  74.8879	  20.0034
 828000000.0000	  74.2257	  19.6599
 836000000.0000	  74.7904	  19.0277
 844000000.0000	  74.3808	  18.9589
 852000000.0000	  74.3660	  18.6825
 860000000.0000	  74.2994	  18.9108
 868000000.0000	  73.8071	  19.1123
 876000000.0000	  73.4859	  18.9547
 884000000.0000	  73.3648	  19.2189
 892000000.0000	  73.8816	  18.8536
 900000000.0000	  74.1118	  18.9662
