frequency	e'	e''
 100000000.0000	  77.5831	 439.1034
 108000000.0000	  79.5441	 408.2354
 116000000.0000	  76.9734	 375.1466
 124000000.0000	  81.0666	 360.5934
 132000000.0000	  77.3923	 340.1769
 140000000.0000	  74.8332	 320.7193
 148000000.0000	  76.5635	 306.1137
 156000000.0000	  72.0426	 285.5821
 164000000.0000	  73.7140	 270.3768
 172000000.0000	  76.5146	 258.2516
 180000000.0000	  76.9130	 248.6574
 188000000.0000	  75.9455	 238.4690
 196000000.0000	  79.1832	 232.5700
 204000000.0000	  74.8428	 223.0111
 212000000.0000	  73.8474	 213.9701
 220000000.0000	  73.5776	 204.9186
 228000000.0000	  72.8939	 197.5822
 236000000.0000	  75.4675	 189.3451
 244000000.0000	  75.1793	 183.4626
 252000000.0000	  76.0174	 180.1091
 260000000.0000	  74.9343	 175.4250
 268000000.0000	  74.8884	 171.6839
 276000000.0000	  74.0983	 167.3039
 284000000.0000	  72.4508	 161.5011
 292000000.0000	  73.3550	 155.8262
 300000000.0000	  73.4970	 151.2567
 308000000.0000	  75.0670	 147.4722
 316000000.0000	  75.5712	 145.0955
 324000000.0000	  75.0444	 142.5508
 332000000.0000	  74.6716	 140.1125
 340000000.0000	  73.3173	 137.1687
 348000000.0000	  73.1989	 132.8969
 356000000.0000	  73.0829	 129.5990
 364000000.0000	  73.4986	 126.4831
 372000000.0000	  73.6595	 123.1670
 380000000.0000	  74.6507	 121.8858
 388000000.0000	  74.8298	 120.1623
 396000000.0000	  74.6700	 118.4569
 404000000.0000	  73.1566	 116.2951
 412000000.0000	  72.7953	 114.1360
 420000000.0000	  73.4742	 111.4989
 428000000.0000	  72.9678	 108.8600
 436000000.0000	  74.0195	 106.7154
 444000000.0000	  74.6331	 105.5396
 452000000.0000	  74.9317	 104.0432
 460000000.0000	  74.0737	 102.9497
 468000000.0000	  73.8018	 101.5334
 476000000.0000	  72.2504	  99.2826
 484000000.0000	  72.1218	  97.6690
 492000000.0000	  72.6072	  95.7437
 500000000.0000	  72.4303	  94.4415
 508000000.0000	  72.8754	  93.2232
 516000000.0000	  73.9355	  92.4237
 524000000.0000	  73.8112	  91.8124
 532000000.0000	  73.5159	  90.4232
 540000000.0000	  72.8831	  88.8064
 548000000.0000	  72.6535	  87.3900
 556000000.0000	  72.2463	  85.2961
 564000000.0000	  72.8915	  84.1401
 572000000.0000	  72.1343	  82.6326
 580000000.0000	  73.2224	  82.2552
 588000000.0000	  72.1701	  81.6470
 596000000.0000	  72.4246	  81.4797
 604000000.0000	  72.1371	  80.5052
 612000000.0000	  72.0264	  79.5525
 620000000.0000	  72.0477	  77.9697
 628000000.0000	  72.2736	  76.9175
 636000000.0000	  73.0782	  75.5353
 644000000.0000	  72.7473	  74.7518
 652000000.0000	  73.3168	  74.6836
 660000000.0000	  71.9337	  73.8013
 668000000.0000	  71.6511	  73.5906
 676000000.0000	  71.0623	  72.6974
 684000000.0000	  70.5719	  71.4512
 692000000.0000	  71.4072	  70.6771
 700000000.0000	  71.7011	  70.0536
 708000000.0000	  72.7138	  69.0885
 716000000.0000	  72.5882	  68.9364
 724000000.0000	  73.0622	  68.7793
 732000000.0000	  72.4275	  67.5956
 740000000.0000	  71.3062	  67.1400
 748000000.0000	  71.4929	  66.1576
 756000000.0000	  70.5064	  64.8343
 764000000.0000	  71.1552	  64.1715
 772000000.0000	  71.0321	  63.8240
 780000000.0000	  71.6050	  63.4939
 788000000.0000	  71.9016	  63.3506
 796000000.0000	  71.5689	  63.4540
 804000000.0000	  71.7859	  62.6895
 812000000.0000	  70.9803	  62.0494
 820000000.0000	  71.4777	  60.9709
 828000000.0000	  70.9006	  59.7051
 836000000.0000	  71.3593	  59.1284
 844000000.0000	  71.3780	  58.5994
 852000000.0000	  71.2506	  58.5917
 860000000.0000	  71.2259	  58.6027
 868000000.0000	  70.3793	  58.5551
 876000000.0000	  70.2482	  57.9485
 884000000.0000	  69.9079	  57.5951
 892000000.0000	  70.5369	  56.8059
 900000000.0000	  70.8245	  55.8046
