frequency	e'	e''
 100000000.0000	  77.3555	 260.5896
 108000000.0000	  79.4599	 242.9489
 116000000.0000	  78.4251	 224.6100
 124000000.0000	  79.7429	 217.4290
 132000000.0000	  76.8986	 205.7118
 140000000.0000	  74.0999	 193.9759
 148000000.0000	  74.2153	 184.3202
 156000000.0000	  72.7267	 171.0101
 164000000.0000	  73.0027	 162.1244
 172000000.0000	  75.6851	 154.4872
 180000000.0000	  78.1383	 149.1820
 188000000.0000	  76.2306	 144.3050
 196000000.0000	  77.3219	 141.2533
 204000000.0000	  74.2244	 135.7077
 212000000.0000	  72.6252	 129.8514
 220000000.0000	  72.2109	 123.7497
 228000000.0000	  73.1053	 118.5053
 236000000.0000	  74.6868	 113.6915
 244000000.0000	  75.0260	 110.6427
 252000000.0000	  75.9409	 109.3156
 260000000.0000	  74.5542	 107.0830
 268000000.0000	  73.4808	 105.3751
 276000000.0000	  73.3653	 102.1330
 284000000.0000	  71.8749	  98.0656
 292000000.0000	  72.8597	  94.3733
 300000000.0000	  73.2572	  91.3751
 308000000.0000	  74.4239	  89.3397
 316000000.0000	  75.3678	  88.3663
 324000000.0000	  74.8437	  87.2684
 332000000.0000	  74.4096	  86.1017
 340000000.0000	  73.0049	  84.4397
 348000000.0000	  72.7121	  81.3516
 356000000.0000	  72.6409	  79.0473
 364000000.0000	  73.0837	  77.0244
 372000000.0000	  73.3948	  74.9927
 380000000.0000	  74.5890	  74.3329
 388000000.0000	  74.4513	  73.8975
 396000000.0000	  73.6579	  73.2773
 404000000.0000	  72.9578	  71.9451
 412000000.0000	  72.3861	  70.4719
 420000000.0000	  72.3928	  68.6337
 428000000.0000	  72.9334	  66.5472
 436000000.0000	  73.8898	  65.3456
 444000000.0000	  74.2469	  64.6999
 452000000.0000	  74.5831	  64.2161
 460000000.0000	  73.8917	  63.8619
 468000000.0000	  72.7993	  63.2651
 476000000.0000	  71.8174	  61.6973
 484000000.0000	  71.8094	  60.4127
 492000000.0000	  71.5997	  59.1453
 500000000.0000	  72.2401	  58.0715
 508000000.0000	  73.0240	  57.4559
 516000000.0000	  73.4238	  57.3017
 524000000.0000	  73.6987	  57.1181
 532000000.0000	  73.2568	  56.5269
 540000000.0000	  72.4487	  55.4969
 548000000.0000	  72.1807	  54.4909
 556000000.0000	  71.8836	  52.9074
 564000000.0000	  72.1179	  51.9516
 572000000.0000	  71.9648	  51.0916
 580000000.0000	  72.6852	  51.2407
 588000000.0000	  72.1943	  50.9515
 596000000.0000	  72.1208	  51.1394
 604000000.0000	  71.7479	  50.7388
 612000000.0000	  71.8572	  49.7843
 620000000.0000	  71.5154	  48.8618
 628000000.0000	  71.9406	  47.8244
 636000000.0000	  72.4838	  47.1136
 644000000.0000	  72.5657	  46.5739
 652000000.0000	  72.5327	  46.8809
 660000000.0000	  71.8710	  46.4442
 668000000.0000	  71.3578	  46.4587
 676000000.0000	  70.5109	  46.0049
 684000000.0000	  70.5465	  44.9552
 692000000.0000	  70.9823	  44.4739
 700000000.0000	  71.4086	  43.8274
 708000000.0000	  72.2858	  43.4955
 716000000.0000	  72.5650	  43.3836
 724000000.0000	  72.7285	  43.5628
 732000000.0000	  72.0146	  43.0632
 740000000.0000	  71.0392	  42.7101
 748000000.0000	  70.7138	  41.9872
 756000000.0000	  70.3979	  40.8710
 764000000.0000	  70.6261	  40.5147
 772000000.0000	  71.0451	  40.1658
 780000000.0000	  71.4193	  40.1840
 788000000.0000	  71.7281	  40.2869
 796000000.0000	  71.4754	  40.5709
 804000000.0000	  71.3916	  40.1804
 812000000.0000	  70.9498	  39.5555
 820000000.0000	  71.0753	  38.8362
 828000000.0000	  70.8701	  37.7709
 836000000.0000	  71.0818	  37.3869
 844000000.0000	  71.2111	  37.1675
 852000000.0000	  71.0568	  37.3646
 860000000.0000	  70.7340	  37.6013
 868000000.0000	  70.4240	  37.5788
 876000000.0000	  70.0144	  37.3685
 884000000.0000	  69.9152	  36.9280
 892000000.0000	  70.5655	  36.2255
 900000000.0000	  70.7338	  35.6215
