frequency	e'	e''
 100000000.0000	  79.2371	   7.1373
 108000000.0000	  79.8243	   6.7345
 116000000.0000	  80.1850	   6.4982
 124000000.0000	  80.5435	   6.4040
 132000000.0000	  80.7536	   6.3393
 140000000.0000	  80.0250	   6.5745
 148000000.0000	  81.0113	   4.8470
 156000000.0000	  80.1587	   5.1950
 164000000.0000	  79.5736	   5.1685
 172000000.0000	  79.3775	   4.8870
 180000000.0000	  79.3174	   4.9281
 188000000.0000	  78.6319	   5.3804
 196000000.0000	  79.5193	   4.7695
 204000000.0000	  80.2732	   4.2100
 212000000.0000	  79.7808	   5.0537
 220000000.0000	  80.3618	   4.2222
 228000000.0000	  80.9364	   3.4964
 236000000.0000	  80.7732	   4.1535
 244000000.0000	  79.9740	   4.5072
 252000000.0000	  79.9640	   4.2037
 260000000.0000	  79.4835	   4.2241
 268000000.0000	  79.0509	   4.3624
 276000000.0000	  79.3339	   3.9584
 284000000.0000	  79.5753	   3.8651
 292000000.0000	  79.6052	   4.0640
 300000000.0000	  80.2740	   3.9616
 308000000.0000	  81.0411	   3.7697
 316000000.0000	  81.2100	   4.0597
 324000000.0000	  81.9071	   3.5768
 332000000.0000	  82.2430	   3.2919
 340000000.0000	  81.6839	   3.5818
 348000000.0000	  81.3419	   3.7065
 356000000.0000	  81.1624	   3.7085
 364000000.0000	  81.0020	   3.7957
 372000000.0000	  80.8066	   4.0697
 380000000.0000	  81.1080	   3.8157
 388000000.0000	  81.2356	   4.0103
 396000000.0000	  81.7526	   3.6847
 404000000.0000	  81.9182	   3.2975
 412000000.0000	  81.8594	   3.4530
 420000000.0000	  81.6669	   3.5406
 428000000.0000	  81.8701	   3.2196
 436000000.0000	  80.6629	   3.7613
 444000000.0000	  80.7068	   3.8023
 452000000.0000	  80.5342	   3.8898
 460000000.0000	  80.6265	   3.9344
 468000000.0000	  80.6684	   4.1762
 476000000.0000	  81.3387	   3.6005
 484000000.0000	  81.3572	   3.7349
 492000000.0000	  81.4666	   3.6952
 500000000.0000	  81.2867	   3.7004
 508000000.0000	  80.5647	   3.8662
 516000000.0000	  79.9991	   4.1679
 524000000.0000	  79.4480	   4.2164
 532000000.0000	  78.7635	   4.4182
 540000000.0000	  78.1502	   4.8949
 548000000.0000	  78.1919	   4.5802
 556000000.0000	  78.1791	   4.6558
 564000000.0000	  78.5659	   4.9155
 572000000.0000	  79.2474	   4.4304
 580000000.0000	  79.5902	   4.6993
 588000000.0000	  79.6290	   4.6107
 596000000.0000	  79.3591	   4.8417
 604000000.0000	  79.2127	   4.5172
 612000000.0000	  78.5466	   5.0137
 620000000.0000	  78.0320	   4.7503
 628000000.0000	  77.4326	   5.2031
 636000000.0000	  77.5358	   5.2627
 644000000.0000	  77.4531	   5.4003
 652000000.0000	  78.0146	   5.4266
 660000000.0000	  78.8477	   5.4192
 668000000.0000	  78.5697	   5.6632
 676000000.0000	  79.4872	   5.0046
 684000000.0000	  79.6804	   5.0923
 692000000.0000	  79.2012	   5.0704
 700000000.0000	  78.7566	   5.1461
 708000000.0000	  78.2695	   5.2704
 716000000.0000	  77.5985	   5.4843
 724000000.0000	  77.7121	   5.6111
 732000000.0000	  78.2591	   5.3957
 740000000.0000	  77.9468	   5.7728
 748000000.0000	  79.0042	   5.4278
 756000000.0000	  79.6855	   5.4485
 764000000.0000	  79.4843	   5.5011
 772000000.0000	  79.8869	   5.3242
 780000000.0000	  79.7106	   5.4557
 788000000.0000	  78.9902	   5.2228
 796000000.0000	  78.2557	   5.7397
 804000000.0000	  77.8255	   5.4240
 812000000.0000	  77.0936	   5.8821
 820000000.0000	  77.3543	   6.0046
 828000000.0000	  78.2158	   5.7650
 836000000.0000	  78.1624	   6.3032
 844000000.0000	  79.5710	   5.7983
 852000000.0000	  79.9909	   6.0559
 860000000.0000	  80.3937	   5.5939
 868000000.0000	  80.4850	   5.6296
 876000000.0000	  80.2762	   5.4670
 884000000.0000	  78.9911	   5.6346
 892000000.0000	  78.4663	   5.7344
 900000000.0000	  78.2897	   5.6202
