frequency	e'	e''
 100000000.0000	  27.4863	  88.4339
 108000000.0000	  32.5675	  84.9007
 116000000.0000	  36.3841	  81.4513
 124000000.0000	  39.1948	  77.3954
 132000000.0000	  42.3003	  74.4758
 140000000.0000	  42.8052	  71.4392
 148000000.0000	  48.0959	  68.5592
 156000000.0000	  48.4187	  65.7447
 164000000.0000	  49.7855	  63.1480
 172000000.0000	  50.9487	  60.3037
 180000000.0000	  52.1272	  58.5412
 188000000.0000	  52.8325	  56.7972
 196000000.0000	  54.8440	  54.7559
 204000000.0000	  55.4240	  53.0653
 212000000.0000	  55.1041	  51.4420
 220000000.0000	  55.0783	  49.9865
 228000000.0000	  56.6239	  48.6134
 236000000.0000	  57.2955	  47.5966
 244000000.0000	  57.6469	  46.2726
 252000000.0000	  59.0261	  45.0292
 260000000.0000	  58.5119	  44.3103
 268000000.0000	  58.8354	  43.1439
 276000000.0000	  58.2549	  42.0766
 284000000.0000	  58.9905	  41.1691
 292000000.0000	  59.1826	  40.2062
 300000000.0000	  59.3007	  39.1895
 308000000.0000	  60.0529	  38.4738
 316000000.0000	  60.0088	  37.7805
 324000000.0000	  59.1904	  37.3133
 332000000.0000	  59.7764	  36.3786
 340000000.0000	  59.9699	  35.8407
 348000000.0000	  59.6011	  35.4665
 356000000.0000	  60.2850	  34.7427
 364000000.0000	  60.7637	  34.2488
 372000000.0000	  60.5166	  33.6507
 380000000.0000	  61.5097	  33.3125
 388000000.0000	  60.5942	  32.7313
 396000000.0000	  60.3589	  32.5385
 404000000.0000	  61.1799	  31.8797
 412000000.0000	  60.6384	  31.2476
 420000000.0000	  60.3005	  30.9953
 428000000.0000	  61.0145	  30.4571
 436000000.0000	  60.5559	  30.1100
 444000000.0000	  60.5215	  29.7850
 452000000.0000	  61.2605	  29.5073
 460000000.0000	  60.5827	  29.2310
 468000000.0000	  60.5891	  28.8845
 476000000.0000	  60.6571	  28.5041
 484000000.0000	  60.7976	  28.1628
 492000000.0000	  60.8231	  27.8409
 500000000.0000	  61.0510	  27.5663
 508000000.0000	  61.4644	  27.1162
 516000000.0000	  61.0047	  26.8344
 524000000.0000	  60.6317	  26.7878
 532000000.0000	  60.7845	  26.4163
 540000000.0000	  60.1504	  26.6963
 548000000.0000	  60.1905	  26.4569
 556000000.0000	  60.4534	  25.9059
 564000000.0000	  60.5788	  25.8460
 572000000.0000	  61.2126	  25.3284
 580000000.0000	  60.5038	  25.2035
 588000000.0000	  61.3703	  25.0099
 596000000.0000	  60.4855	  24.8990
 604000000.0000	  60.3798	  24.5477
 612000000.0000	  60.7771	  24.5439
 620000000.0000	  60.3636	  24.3692
 628000000.0000	  60.0057	  24.2205
 636000000.0000	  60.5280	  24.2619
 644000000.0000	  60.4824	  23.8555
 652000000.0000	  59.7395	  24.0578
 660000000.0000	  60.9073	  23.6732
 668000000.0000	  60.1836	  23.7030
 676000000.0000	  60.5390	  23.3511
 684000000.0000	  60.7874	  23.1718
 692000000.0000	  60.4622	  23.0274
 700000000.0000	  60.2938	  22.8711
 708000000.0000	  60.3721	  22.9236
 716000000.0000	  59.6699	  22.6879
 724000000.0000	  59.8440	  22.8270
 732000000.0000	  60.0692	  22.7307
 740000000.0000	  59.7975	  22.5235
 748000000.0000	  59.9442	  22.5443
 756000000.0000	  60.1047	  22.2394
 764000000.0000	  59.9104	  22.1325
 772000000.0000	  60.3240	  21.9759
 780000000.0000	  60.3559	  21.8789
 788000000.0000	  60.4416	  21.6535
 796000000.0000	  59.7817	  21.8525
 804000000.0000	  60.0533	  21.5228
 812000000.0000	  59.6018	  21.6086
 820000000.0000	  59.4907	  21.6826
 828000000.0000	  59.4663	  21.4702
 836000000.0000	  59.2382	  21.4352
 844000000.0000	  59.6365	  21.3764
 852000000.0000	  60.0163	  21.3902
 860000000.0000	  59.9474	  21.0199
 868000000.0000	  60.0393	  21.1002
 876000000.0000	  60.0719	  21.0593
 884000000.0000	  59.6618	  20.9277
 892000000.0000	  60.1575	  20.9401
 900000000.0000	  59.4756	  20.8870
