frequency	e'	e''
 100000000.0000	  79.6246	  55.9096
 108000000.0000	  91.3672	  55.4118
 116000000.0000	  96.0060	  60.7315
 124000000.0000	  93.9947	  67.1174
 132000000.0000	  85.0064	  69.9805
 140000000.0000	  74.6267	  66.0525
 148000000.0000	  70.3715	  55.2643
 156000000.0000	  72.0717	  44.6658
 164000000.0000	  77.8848	  39.1392
 172000000.0000	  85.9598	  37.5733
 180000000.0000	  90.5129	  40.9631
 188000000.0000	  90.7634	  46.1031
 196000000.0000	  86.3152	  49.2782
 204000000.0000	  79.8588	  48.1068
 212000000.0000	  74.4374	  43.3786
 220000000.0000	  74.4970	  35.5815
 228000000.0000	  78.0815	  30.3295
 236000000.0000	  83.1856	  28.9366
 244000000.0000	  86.8302	  30.9635
 252000000.0000	  88.3554	  35.2026
 260000000.0000	  85.7772	  38.9510
 268000000.0000	  80.9153	  40.1382
 276000000.0000	  77.2964	  36.7543
 284000000.0000	  76.3524	  31.2410
 292000000.0000	  77.6485	  27.3775
 300000000.0000	  81.2744	  25.0336
 308000000.0000	  84.8701	  26.0624
 316000000.0000	  86.3042	  29.1667
 324000000.0000	  84.9988	  32.5195
 332000000.0000	  82.2330	  34.0029
 340000000.0000	  78.0499	  33.0643
 348000000.0000	  76.1894	  29.5660
 356000000.0000	  77.1166	  25.6967
 364000000.0000	  80.0587	  23.7179
 372000000.0000	  83.1418	  23.4754
 380000000.0000	  85.0310	  25.5102
 388000000.0000	  85.1184	  28.4730
 396000000.0000	  82.0003	  30.3822
 404000000.0000	  78.7570	  30.0670
 412000000.0000	  76.7164	  27.9134
 420000000.0000	  76.7547	  24.2732
 428000000.0000	  78.8179	  22.2381
 436000000.0000	  81.1160	  22.1076
 444000000.0000	  83.2970	  23.6613
 452000000.0000	  83.5048	  26.1557
 460000000.0000	  81.5113	  28.0026
 468000000.0000	  79.1609	  28.2090
 476000000.0000	  76.8883	  26.3843
 484000000.0000	  76.2293	  23.7698
 492000000.0000	  77.7314	  21.1548
 500000000.0000	  79.5886	  20.9467
 508000000.0000	  81.5713	  21.9051
 516000000.0000	  82.5506	  23.9566
 524000000.0000	  81.4571	  25.9699
 532000000.0000	  78.9737	  26.3877
 540000000.0000	  76.8144	  25.2777
 548000000.0000	  76.5550	  22.5904
 556000000.0000	  76.6301	  20.8267
 564000000.0000	  78.7006	  19.6163
 572000000.0000	  80.2970	  20.0790
 580000000.0000	  81.0179	  21.8900
 588000000.0000	  80.7184	  23.5749
 596000000.0000	  78.5340	  24.6762
 604000000.0000	  76.6289	  24.1468
 612000000.0000	  75.5481	  22.3671
 620000000.0000	  76.1005	  20.1817
 628000000.0000	  77.2805	  19.1853
 636000000.0000	  78.9844	  19.2420
 644000000.0000	  80.0626	  20.5776
 652000000.0000	  79.8219	  22.2868
 660000000.0000	  78.2164	  23.3339
 668000000.0000	  76.4108	  23.1490
 676000000.0000	  75.0650	  21.8209
 684000000.0000	  74.9498	  20.0854
 692000000.0000	  75.9302	  18.8233
 700000000.0000	  77.3887	  18.6636
 708000000.0000	  78.6450	  19.6598
 716000000.0000	  78.9982	  21.1780
 724000000.0000	  77.5905	  22.3215
 732000000.0000	  75.9070	  22.3952
 740000000.0000	  74.2898	  21.6796
 748000000.0000	  74.0548	  19.6246
 756000000.0000	  74.8773	  18.1173
 764000000.0000	  76.5939	  17.5574
 772000000.0000	  77.2973	  18.2012
 780000000.0000	  78.1035	  19.6725
 788000000.0000	  77.6102	  20.9958
 796000000.0000	  75.9083	  21.3364
 804000000.0000	  73.9731	  21.2065
 812000000.0000	  73.7652	  19.2271
 820000000.0000	  73.4139	  17.8647
 828000000.0000	  74.8769	  16.9487
 836000000.0000	  76.4792	  17.3147
 844000000.0000	  77.1510	  18.2238
 852000000.0000	  77.0255	  19.9164
 860000000.0000	  75.8463	  20.8385
 868000000.0000	  74.2450	  20.5836
 876000000.0000	  73.6494	  19.3163
 884000000.0000	  73.1726	  18.1098
 892000000.0000	  74.2333	  16.6865
 900000000.0000	  75.2906	  16.7056
