frequency	e'	e''
 100000000.0000	  78.8143	 143.7814
 108000000.0000	  81.6269	 134.5407
 116000000.0000	  81.3925	 125.3776
 124000000.0000	  81.8269	 122.6726
 132000000.0000	  79.4895	 116.8017
 140000000.0000	  76.8663	 109.8933
 148000000.0000	  76.7552	 103.5891
 156000000.0000	  74.5326	  96.3604
 164000000.0000	  76.6703	  90.0029
 172000000.0000	  78.5374	  86.1746
 180000000.0000	  79.7343	  83.8689
 188000000.0000	  79.0260	  81.8467
 196000000.0000	  79.3645	  80.3884
 204000000.0000	  76.7587	  77.4827
 212000000.0000	  74.9433	  74.4427
 220000000.0000	  75.1089	  70.0192
 228000000.0000	  75.8673	  66.5804
 236000000.0000	  77.4482	  63.7311
 244000000.0000	  77.5903	  62.4789
 252000000.0000	  78.2616	  62.2344
 260000000.0000	  77.1382	  61.4828
 268000000.0000	  76.2385	  60.4449
 276000000.0000	  75.6063	  58.5853
 284000000.0000	  74.3499	  56.1348
 292000000.0000	  74.7872	  53.6257
 300000000.0000	  75.6354	  51.8571
 308000000.0000	  76.6619	  50.9126
 316000000.0000	  77.2333	  50.6265
 324000000.0000	  77.0526	  50.4073
 332000000.0000	  76.5998	  49.9920
 340000000.0000	  75.6251	  48.8810
 348000000.0000	  74.8906	  46.9134
 356000000.0000	  74.8706	  45.4750
 364000000.0000	  75.1184	  44.2178
 372000000.0000	  75.5016	  43.0180
 380000000.0000	  76.4240	  42.9682
 388000000.0000	  76.0426	  42.9757
 396000000.0000	  75.8473	  42.7085
 404000000.0000	  75.1428	  42.2342
 412000000.0000	  74.1535	  41.5165
 420000000.0000	  74.7499	  39.7694
 428000000.0000	  74.8229	  38.5539
 436000000.0000	  75.3412	  38.0282
 444000000.0000	  76.1227	  37.6263
 452000000.0000	  76.1080	  37.6340
 460000000.0000	  75.5113	  37.6391
 468000000.0000	  74.9790	  37.2158
 476000000.0000	  73.7039	  36.4815
 484000000.0000	  73.5198	  35.7647
 492000000.0000	  73.7884	  34.7646
 500000000.0000	  74.3356	  34.0905
 508000000.0000	  75.1026	  33.7702
 516000000.0000	  75.6047	  33.8889
 524000000.0000	  75.8941	  33.9469
 532000000.0000	  75.2381	  33.6987
 540000000.0000	  74.3947	  33.0894
 548000000.0000	  74.1980	  32.5332
 556000000.0000	  74.0473	  31.2742
 564000000.0000	  74.0409	  30.7683
 572000000.0000	  74.1736	  30.1917
 580000000.0000	  74.5198	  30.5022
 588000000.0000	  74.4057	  30.5598
 596000000.0000	  74.3402	  30.8297
 604000000.0000	  74.0068	  30.5192
 612000000.0000	  73.9202	  30.0446
 620000000.0000	  73.9767	  29.2190
 628000000.0000	  74.1713	  28.5281
 636000000.0000	  74.5589	  28.1290
 644000000.0000	  74.7089	  27.9047
 652000000.0000	  74.5943	  28.2241
 660000000.0000	  74.0586	  28.1769
 668000000.0000	  73.5242	  28.2875
 676000000.0000	  72.9531	  27.9427
 684000000.0000	  72.7240	  27.4621
 692000000.0000	  73.2704	  26.9587
 700000000.0000	  73.7253	  26.5021
 708000000.0000	  74.4555	  26.3705
 716000000.0000	  74.7659	  26.4096
 724000000.0000	  74.7007	  26.6069
 732000000.0000	  74.2051	  26.4684
 740000000.0000	  73.5549	  26.1341
 748000000.0000	  73.0727	  25.7724
 756000000.0000	  72.8280	  25.0093
 764000000.0000	  73.0174	  24.7439
 772000000.0000	  73.1943	  24.5759
 780000000.0000	  73.7002	  24.7365
 788000000.0000	  73.8947	  24.9954
 796000000.0000	  73.6254	  25.2612
 804000000.0000	  73.6919	  25.0325
 812000000.0000	  73.3728	  24.5931
 820000000.0000	  73.2389	  24.0200
 828000000.0000	  73.2386	  23.2956
 836000000.0000	  73.4384	  23.0128
 844000000.0000	  73.4634	  23.0171
 852000000.0000	  73.4410	  23.2532
 860000000.0000	  73.3594	  23.5878
 868000000.0000	  72.7534	  23.6412
 876000000.0000	  72.5464	  23.5686
 884000000.0000	  72.4921	  23.2097
 892000000.0000	  72.9673	  22.7717
 900000000.0000	  73.2433	  22.2786
