,cond,std,N
1,0.3356786002844288,0.3183528179036595,5611
2,0.39700816006403167,0.3033511640318921,4955
3,0.4100153765916852,0.35437546259889885,4675
4,0.45388910039854663,0.42441818611347915,5139
6,0.4716055459685576,0.31316865004055,5491
7,0.5677324319847024,0.21966778557568126,5051
8,0.5950924313560436,0.41741233345359563,5051
9,0.7509381854038493,0.3066447875693874,5315
10,0.8290158572126947,0.27134134127769355,5139
11,0.8880288529160654,0.2921650250175042,4771
12,1.0463078158578618,0.4150332924672395,5043
13,1.1657070757324384,0.3996076712298137,5419
14,1.348804700035114,0.3001866903151838,4675
15,1.452946656250628,0.5871673994464529,5435
