,cond,std,N
1,0.2851569448570058,0.15333920411724414,953
2,0.32995927954105575,0.14090621644509915,953
3,0.3367062276427136,0.2396281178465463,921
4,0.41179617151459713,0.25533313873474256,985
6,0.37090426526715053,0.23893729084746995,761
7,0.4718201597466822,0.1372918208949464,889
8,0.5070059429599222,0.32695571654308264,729
9,0.6785895167800341,0.2604587321619569,904
10,0.7987736317420723,0.241047699105239,904
11,0.8536967796954422,0.26153020522024367,808
12,0.9978900526418591,0.29889936033064923,904
13,1.082419244239556,0.4558663108971862,904
14,1.3207521070194166,0.19302383782576935,940
15,1.3569811302439783,0.4086061502402044,904
