frequency	e'	e''
 100000000.0000	  79.6766	 104.2407
 108000000.0000	  79.7766	  96.9770
 116000000.0000	  78.6691	  88.9462
 124000000.0000	  79.6295	  85.4438
 132000000.0000	  79.2391	  80.5115
 140000000.0000	  78.7464	  76.2600
 148000000.0000	  80.2372	  72.4990
 156000000.0000	  78.4482	  68.8785
 164000000.0000	  77.5580	  66.1273
 172000000.0000	  78.4504	  62.6141
 180000000.0000	  78.3855	  60.0906
 188000000.0000	  77.4743	  58.2007
 196000000.0000	  79.0214	  55.6669
 204000000.0000	  77.9949	  53.9380
 212000000.0000	  77.5217	  52.2058
 220000000.0000	  77.5627	  50.1728
 228000000.0000	  77.5551	  48.7298
 236000000.0000	  77.8075	  46.5753
 244000000.0000	  77.2792	  45.4169
 252000000.0000	  77.4386	  44.5390
 260000000.0000	  77.1607	  43.2916
 268000000.0000	  77.2675	  42.2799
 276000000.0000	  77.6502	  41.1894
 284000000.0000	  76.8410	  40.2924
 292000000.0000	  76.9635	  39.1526
 300000000.0000	  76.9252	  38.2152
 308000000.0000	  76.8735	  37.2440
 316000000.0000	  76.9321	  36.6715
 324000000.0000	  76.7046	  35.9237
 332000000.0000	  76.6427	  35.2084
 340000000.0000	  76.4476	  34.6431
 348000000.0000	  77.0811	  33.5754
 356000000.0000	  76.2756	  33.2020
 364000000.0000	  76.3005	  32.5171
 372000000.0000	  76.3177	  32.1279
 380000000.0000	  76.3379	  31.3473
 388000000.0000	  76.7850	  30.9894
 396000000.0000	  76.4785	  30.3026
 404000000.0000	  76.1827	  29.9222
 412000000.0000	  76.0553	  29.6169
 420000000.0000	  76.3860	  29.1069
 428000000.0000	  75.9428	  28.4862
 436000000.0000	  75.6929	  28.3340
 444000000.0000	  75.6940	  27.9649
 452000000.0000	  75.9401	  27.3849
 460000000.0000	  76.1207	  27.1754
 468000000.0000	  76.2989	  26.7365
 476000000.0000	  75.6660	  26.3766
 484000000.0000	  76.0869	  26.0481
 492000000.0000	  76.1633	  25.5230
 500000000.0000	  75.4215	  25.6324
 508000000.0000	  75.9080	  25.0669
 516000000.0000	  75.9150	  24.8202
 524000000.0000	  75.5886	  24.5952
 532000000.0000	  75.7594	  24.3483
 540000000.0000	  75.3054	  23.9108
 548000000.0000	  75.1970	  24.0617
 556000000.0000	  75.3536	  23.7458
 564000000.0000	  75.4586	  23.1533
 572000000.0000	  74.8732	  23.0884
 580000000.0000	  75.8605	  22.7170
 588000000.0000	  74.8313	  22.6867
 596000000.0000	  75.3023	  22.3926
 604000000.0000	  75.2814	  22.4000
 612000000.0000	  75.2009	  21.9642
 620000000.0000	  74.9621	  22.0096
 628000000.0000	  75.1663	  21.6995
 636000000.0000	  75.0456	  21.3215
 644000000.0000	  74.9359	  21.3963
 652000000.0000	  75.4575	  21.1318
 660000000.0000	  74.6476	  21.1450
 668000000.0000	  75.1350	  20.8124
 676000000.0000	  74.7638	  20.9245
 684000000.0000	  74.6871	  20.5127
 692000000.0000	  74.9506	  20.4599
 700000000.0000	  74.9246	  20.4381
 708000000.0000	  74.9485	  20.0855
 716000000.0000	  74.7521	  20.1325
 724000000.0000	  75.0005	  19.7955
 732000000.0000	  74.6122	  19.7576
 740000000.0000	  74.7030	  19.6911
 748000000.0000	  74.6511	  19.6113
 756000000.0000	  74.6102	  19.3741
 764000000.0000	  74.6562	  19.3053
 772000000.0000	  74.4683	  19.2693
 780000000.0000	  74.8829	  18.9339
 788000000.0000	  74.7268	  18.9997
 796000000.0000	  74.7040	  18.9079
 804000000.0000	  74.6985	  18.8237
 812000000.0000	  74.6040	  18.7504
 820000000.0000	  74.5178	  18.6375
 828000000.0000	  74.1590	  18.5080
 836000000.0000	  74.6588	  18.2344
 844000000.0000	  74.3557	  18.3721
 852000000.0000	  74.7269	  18.0738
 860000000.0000	  74.7223	  18.1899
 868000000.0000	  74.5084	  18.0748
 876000000.0000	  74.4423	  18.0597
 884000000.0000	  74.2562	  18.1027
 892000000.0000	  74.3460	  17.8815
 900000000.0000	  74.1872	  17.8660
