frequency	e'	e''
 100000000.0000	  76.8462	 268.7758
 108000000.0000	  80.3745	 250.4458
 116000000.0000	  79.2317	 231.6753
 124000000.0000	  80.6493	 223.8417
 132000000.0000	  78.0186	 212.1480
 140000000.0000	  74.8491	 199.9046
 148000000.0000	  75.3671	 189.6741
 156000000.0000	  72.8146	 176.3133
 164000000.0000	  74.6047	 166.3453
 172000000.0000	  76.8575	 159.1017
 180000000.0000	  78.3343	 153.6932
 188000000.0000	  77.3371	 148.5742
 196000000.0000	  78.3865	 145.3511
 204000000.0000	  76.0103	 139.6725
 212000000.0000	  73.4843	 133.7028
 220000000.0000	  73.2317	 127.3010
 228000000.0000	  74.2684	 122.5137
 236000000.0000	  76.1629	 116.9514
 244000000.0000	  75.8011	 113.8244
 252000000.0000	  77.3253	 112.5476
 260000000.0000	  76.0070	 110.0829
 268000000.0000	  74.7075	 108.0992
 276000000.0000	  74.7256	 105.0294
 284000000.0000	  72.7433	 101.1894
 292000000.0000	  73.5513	  96.6989
 300000000.0000	  74.3961	  94.0470
 308000000.0000	  75.4687	  91.8903
 316000000.0000	  75.7918	  90.7709
 324000000.0000	  75.9323	  89.8027
 332000000.0000	  74.7893	  88.7681
 340000000.0000	  73.7119	  86.6242
 348000000.0000	  73.7308	  83.6805
 356000000.0000	  73.1166	  81.6082
 364000000.0000	  73.7280	  78.9829
 372000000.0000	  74.5443	  77.1863
 380000000.0000	  75.2759	  76.4013
 388000000.0000	  75.1955	  75.8716
 396000000.0000	  74.8330	  75.0979
 404000000.0000	  73.0613	  74.0325
 412000000.0000	  72.4736	  72.6828
 420000000.0000	  73.5620	  70.3096
 428000000.0000	  73.0903	  68.6196
 436000000.0000	  74.6098	  67.1836
 444000000.0000	  75.2986	  66.4781
 452000000.0000	  75.1234	  66.0381
 460000000.0000	  74.1938	  65.8030
 468000000.0000	  74.0855	  64.8380
 476000000.0000	  72.4865	  63.3195
 484000000.0000	  72.4345	  62.2451
 492000000.0000	  72.7960	  60.5322
 500000000.0000	  72.8824	  59.6151
 508000000.0000	  73.5744	  58.9949
 516000000.0000	  74.4969	  58.8481
 524000000.0000	  74.2965	  58.6451
 532000000.0000	  73.8842	  58.1999
 540000000.0000	  73.2718	  57.0108
 548000000.0000	  72.8217	  55.8870
 556000000.0000	  72.7054	  54.3610
 564000000.0000	  73.1707	  53.3567
 572000000.0000	  72.4348	  52.5324
 580000000.0000	  73.6628	  52.4081
 588000000.0000	  72.7955	  52.3818
 596000000.0000	  72.7219	  52.4358
 604000000.0000	  72.7123	  51.8940
 612000000.0000	  72.4727	  51.2158
 620000000.0000	  72.3259	  49.9724
 628000000.0000	  72.7645	  49.2472
 636000000.0000	  73.5212	  48.1897
 644000000.0000	  73.0846	  47.8806
 652000000.0000	  73.7754	  47.9629
 660000000.0000	  72.5367	  47.7195
 668000000.0000	  72.2847	  47.4801
 676000000.0000	  71.4204	  47.1511
 684000000.0000	  71.1149	  46.1755
 692000000.0000	  71.7957	  45.4253
 700000000.0000	  72.2604	  45.1025
 708000000.0000	  73.1875	  44.4580
 716000000.0000	  73.1910	  44.6134
 724000000.0000	  73.6801	  44.5206
 732000000.0000	  72.8037	  44.0752
 740000000.0000	  71.8636	  43.7937
 748000000.0000	  71.9294	  42.9115
 756000000.0000	  70.8296	  41.9645
 764000000.0000	  71.5969	  41.3242
 772000000.0000	  71.6505	  41.2382
 780000000.0000	  72.1291	  41.0233
 788000000.0000	  72.3390	  41.3415
 796000000.0000	  72.3442	  41.4182
 804000000.0000	  71.9830	  41.0965
 812000000.0000	  71.5566	  40.6700
 820000000.0000	  71.9812	  39.6687
 828000000.0000	  71.2627	  38.7664
 836000000.0000	  72.0209	  38.1984
 844000000.0000	  71.8727	  38.1562
 852000000.0000	  71.8285	  38.0559
 860000000.0000	  71.8183	  38.3653
 868000000.0000	  71.0667	  38.5546
 876000000.0000	  70.6979	  38.0540
 884000000.0000	  70.6792	  37.7805
 892000000.0000	  71.2717	  37.0318
 900000000.0000	  71.1646	  36.5436
