frequency	e'	e''
 100000000.0000	  77.4635	 188.2081
 108000000.0000	  81.2293	 175.8282
 116000000.0000	  79.3866	 164.2955
 124000000.0000	  81.3504	 159.1550
 132000000.0000	  78.5407	 151.0829
 140000000.0000	  75.8841	 142.4309
 148000000.0000	  75.8110	 134.3690
 156000000.0000	  73.9547	 124.4014
 164000000.0000	  75.5545	 117.2208
 172000000.0000	  77.6348	 112.0464
 180000000.0000	  79.0829	 108.8389
 188000000.0000	  77.5706	 106.4313
 196000000.0000	  79.4659	 103.9052
 204000000.0000	  75.6776	  99.9549
 212000000.0000	  74.1822	  95.5065
 220000000.0000	  74.7407	  90.5116
 228000000.0000	  74.9177	  86.3935
 236000000.0000	  77.2117	  82.6965
 244000000.0000	  77.5876	  80.7028
 252000000.0000	  77.6351	  80.3038
 260000000.0000	  76.2077	  78.9763
 268000000.0000	  74.8222	  78.0024
 276000000.0000	  74.4613	  75.3055
 284000000.0000	  73.1233	  72.2047
 292000000.0000	  73.9503	  68.7932
 300000000.0000	  74.5812	  66.9204
 308000000.0000	  75.7276	  65.4608
 316000000.0000	  76.1034	  65.3161
 324000000.0000	  75.8997	  65.0483
 332000000.0000	  75.7260	  63.9027
 340000000.0000	  74.2755	  62.4690
 348000000.0000	  74.2000	  60.1333
 356000000.0000	  73.8142	  58.2290
 364000000.0000	  73.9505	  56.3961
 372000000.0000	  74.6499	  55.4255
 380000000.0000	  75.6061	  54.8957
 388000000.0000	  74.9795	  55.0645
 396000000.0000	  75.0356	  54.7505
 404000000.0000	  74.1637	  53.7386
 412000000.0000	  73.3583	  52.5778
 420000000.0000	  74.0698	  50.7750
 428000000.0000	  74.2201	  49.2055
 436000000.0000	  74.7813	  48.3176
 444000000.0000	  75.6766	  47.8882
 452000000.0000	  75.4036	  47.9539
 460000000.0000	  74.6865	  47.7215
 468000000.0000	  74.3302	  47.2489
 476000000.0000	  72.9721	  46.1840
 484000000.0000	  72.7432	  45.1402
 492000000.0000	  73.2319	  43.9018
 500000000.0000	  73.5982	  43.2295
 508000000.0000	  74.1831	  42.7976
 516000000.0000	  75.0101	  42.8704
 524000000.0000	  74.8105	  43.0445
 532000000.0000	  74.2430	  42.4987
 540000000.0000	  73.7581	  41.5536
 548000000.0000	  73.2507	  40.7855
 556000000.0000	  72.5280	  39.6929
 564000000.0000	  73.3426	  38.7578
 572000000.0000	  72.7722	  38.2691
 580000000.0000	  74.0213	  38.3588
 588000000.0000	  73.4859	  38.4389
 596000000.0000	  73.4204	  38.7146
 604000000.0000	  73.2233	  38.3109
 612000000.0000	  72.8765	  37.6899
 620000000.0000	  72.6845	  36.6320
 628000000.0000	  73.0913	  35.9708
 636000000.0000	  73.5350	  35.2748
 644000000.0000	  73.6988	  34.9355
 652000000.0000	  73.7719	  35.4383
 660000000.0000	  72.9703	  35.1957
 668000000.0000	  72.1894	  35.3495
 676000000.0000	  71.9883	  34.9776
 684000000.0000	  71.5466	  34.2761
 692000000.0000	  72.1095	  33.5398
 700000000.0000	  72.7119	  33.2874
 708000000.0000	  73.5597	  32.7232
 716000000.0000	  73.4630	  32.7858
 724000000.0000	  73.7643	  33.1102
 732000000.0000	  73.2111	  32.6224
 740000000.0000	  71.9178	  32.5743
 748000000.0000	  72.1433	  31.8793
 756000000.0000	  71.3700	  31.2464
 764000000.0000	  71.9098	  30.6946
 772000000.0000	  72.0991	  30.7195
 780000000.0000	  72.6100	  30.7135
 788000000.0000	  72.8131	  30.8009
 796000000.0000	  72.7308	  31.1950
 804000000.0000	  72.6929	  30.7204
 812000000.0000	  71.9676	  30.4238
 820000000.0000	  72.2787	  29.5059
 828000000.0000	  71.7700	  28.8532
 836000000.0000	  71.9339	  28.4776
 844000000.0000	  72.3726	  28.4131
 852000000.0000	  72.0615	  28.6989
 860000000.0000	  72.1157	  28.9702
 868000000.0000	  71.6344	  29.2678
 876000000.0000	  71.4546	  28.8469
 884000000.0000	  70.9758	  28.6099
 892000000.0000	  71.7295	  27.9577
 900000000.0000	  71.8304	  27.2364
