frequency	e'	e''
 100000000.0000	  77.5645	 187.4229
 108000000.0000	  80.9830	 175.0906
 116000000.0000	  80.6332	 162.9715
 124000000.0000	  81.5235	 158.6868
 132000000.0000	  78.7439	 150.6979
 140000000.0000	  75.8520	 141.8569
 148000000.0000	  75.8201	 133.8170
 156000000.0000	  73.9462	 124.2295
 164000000.0000	  75.6437	 116.7890
 172000000.0000	  77.6976	 111.8007
 180000000.0000	  78.8515	 108.5022
 188000000.0000	  78.8605	 105.5668
 196000000.0000	  78.6194	 103.5881
 204000000.0000	  76.5316	  99.8292
 212000000.0000	  74.0148	  95.3203
 220000000.0000	  73.9487	  90.1972
 228000000.0000	  75.2592	  86.6954
 236000000.0000	  76.5128	  82.4277
 244000000.0000	  77.0389	  80.5711
 252000000.0000	  78.1497	  80.1422
 260000000.0000	  76.8600	  78.8094
 268000000.0000	  75.2613	  77.5244
 276000000.0000	  74.6529	  75.4739
 284000000.0000	  73.1901	  72.3382
 292000000.0000	  74.0429	  68.6478
 300000000.0000	  74.1418	  67.0711
 308000000.0000	  75.7792	  65.3508
 316000000.0000	  76.5357	  64.9504
 324000000.0000	  76.5992	  64.5605
 332000000.0000	  75.1451	  63.9819
 340000000.0000	  74.3396	  62.3993
 348000000.0000	  74.3308	  60.0031
 356000000.0000	  73.1864	  58.4295
 364000000.0000	  74.0984	  56.2869
 372000000.0000	  74.9398	  55.1679
 380000000.0000	  75.1680	  54.7479
 388000000.0000	  75.2752	  54.7658
 396000000.0000	  75.3090	  54.4252
 404000000.0000	  73.9074	  53.6067
 412000000.0000	  73.7502	  52.5008
 420000000.0000	  74.1313	  50.6699
 428000000.0000	  73.7443	  49.3820
 436000000.0000	  74.7960	  48.2610
 444000000.0000	  75.6799	  47.8414
 452000000.0000	  75.4111	  47.7332
 460000000.0000	  74.9751	  47.6732
 468000000.0000	  74.3145	  47.1843
 476000000.0000	  72.5188	  46.3055
 484000000.0000	  72.9576	  45.1042
 492000000.0000	  73.2569	  43.8131
 500000000.0000	  73.4415	  43.2136
 508000000.0000	  74.4622	  42.8139
 516000000.0000	  75.0677	  42.8117
 524000000.0000	  74.8124	  42.7989
 532000000.0000	  74.3287	  42.6190
 540000000.0000	  73.5640	  41.6531
 548000000.0000	  73.0338	  40.7251
 556000000.0000	  72.7675	  39.7430
 564000000.0000	  73.3857	  38.6806
 572000000.0000	  72.7984	  38.3114
 580000000.0000	  74.0942	  38.2997
 588000000.0000	  73.3212	  38.5815
 596000000.0000	  73.4165	  38.5137
 604000000.0000	  73.0723	  38.4156
 612000000.0000	  73.1490	  37.5272
 620000000.0000	  72.6954	  36.5936
 628000000.0000	  73.1454	  35.9897
 636000000.0000	  73.7254	  35.1064
 644000000.0000	  73.3210	  35.0968
 652000000.0000	  73.9184	  35.2475
 660000000.0000	  72.8442	  35.3883
 668000000.0000	  72.6049	  35.2590
 676000000.0000	  71.8856	  35.0775
 684000000.0000	  71.6522	  34.2934
 692000000.0000	  72.1203	  33.5126
 700000000.0000	  72.8143	  33.2644
 708000000.0000	  73.6310	  32.7159
 716000000.0000	  73.5826	  32.9844
 724000000.0000	  73.9890	  32.9465
 732000000.0000	  73.0442	  32.7875
 740000000.0000	  71.8860	  32.5931
 748000000.0000	  72.1605	  31.8765
 756000000.0000	  71.1355	  31.2244
 764000000.0000	  71.9572	  30.6917
 772000000.0000	  72.1588	  30.7095
 780000000.0000	  72.6806	  30.7207
 788000000.0000	  72.8677	  30.7979
 796000000.0000	  72.7900	  31.1718
 804000000.0000	  72.7388	  30.6933
 812000000.0000	  71.9931	  30.4173
 820000000.0000	  72.3344	  29.5238
 828000000.0000	  71.7828	  28.8556
 836000000.0000	  71.9129	  28.4908
 844000000.0000	  72.3675	  28.4298
 852000000.0000	  72.0650	  28.7197
 860000000.0000	  72.3068	  28.9946
 868000000.0000	  71.6623	  29.2729
 876000000.0000	  71.5544	  28.8502
 884000000.0000	  71.0634	  28.5932
 892000000.0000	  71.9430	  27.8066
 900000000.0000	  71.8419	  27.2229
