,cond,std,N
1,0.2564405523715891,0.3367731094067329,1947
2,0.375729163023074,0.29961484432311436,2303
3,0.5317133791147552,0.34834339163415234,2139
4,0.5684417265542779,0.4234056901066895,3500
6,0.46548737736007234,0.38939840993109637,3020
7,0.5782160054096503,0.27866379693528465,3308
8,0.7753357435933369,0.3493495156658336,3308
9,0.7441646959521664,0.46562844355957944,4430
10,0.822464144727739,0.38642163958770714,4526
11,0.9835749948937554,0.6318603896725187,4634
12,1.1678679512673271,0.4140586742804703,5406
13,1.2381854311223528,0.5020535987180046,4614
14,1.2993088756178537,0.39608495368771224,4886
15,1.6849007454032137,0.4506332153925405,5410
