,cond,std,N
1,0.375324192412516,0.39258671722988037,935
2,0.49849252045104825,0.3007661117719161,827
3,0.4347787394424956,0.2881688085858509,791
4,0.5326629566534123,0.36253580426569165,863
6,0.39068628735950145,0.29256922490565274,791
7,0.5475353783571131,0.18035109494449733,863
8,0.5815194926820209,0.317251871082103,827
9,0.6872843232172752,0.31258658789451693,872
10,0.7807630858517207,0.2899980915155462,776
11,0.8779238270536792,0.34143052394382917,744
12,1.0561200136368938,0.2823739983622111,872
13,1.1068734336656132,0.28231735634632366,904
14,1.155139297129543,0.4369937566446095,840
15,1.5229466929989681,0.3045992866914118,904
